|Description|new_summary|entities
83|*US JOBLESS CLAIMS 199K IN DEC. 27 WEEK; EST. 220K *US CONTINUING CLAIMS 1.866M IN DEC. 20 WEEK; PREV. 1.923M|US jobless claims for the week of December 27 totaled 199K, significantly lower than the estimated 220K, while continuing claims dropped to 1.866M from the previous 1.923M.|
84|UKRAINE STRUCK OIL DEPOT IN RUSSIAN CITY OF RYBINSK  SBU OFFICIAL SAYS.|Ukraine has reportedly struck an oil depot in the Russian city of Rybinsk, according to an SBU official. This incident is a continuation of the ongoing geopolitical tensions in the region.|oil
85|Trump: ‘Tim Waltz of Minnesota is a Crooked Governor!!!’|Trump accused Minnesota Governor Tim Waltz of being dishonest, labeling him as a 'crooked governor.' This statement reflects a political stance rather than a financial commentary.|
86|**HOLIDAYS DISTORTING JOBLESS CLAIMS DATA**  Citi economists warn that holiday periods are causing unusually large distortions in the seasonal adjustments for jobless claims this year.  **Key data from Christmas week:**  🔸 Initial claims fell to 199 000 (from 215 000 the prior week) 🔸 This was much lower than the expected 220 000  A more reliable picture of the labor market may not emerge until mid-January.That said  the low level of claims still points to very few layoffs.  Ci**ti's forecasts for the upcoming December jobs report (due next week):  **🔸 Nonfarm payrolls: +75 000 🔸 Unemployment rate: rising to 4.7% (mainly due to higher labor force participation)|Citi economists highlight that holiday periods are distorting jobless claims data, with initial claims unexpectedly dropping to 199,000. They anticipate nonfarm payrolls to rise by 75,000 and the unemployment rate to increase to 4.7% in the upcoming December jobs report.|Citi
87|**WILL SCOTUS UPHOLD TRUMP'S TARIFFS?**  Kalshi Prediction Market – Dec 31  2025 (New Year's Eve)  📈 Yes → 36% chance (+10 points in recent days)    📉 No → 64% (implied)  December started quiet with odds in the low 20s  but the market has surged over the past week amid rising trading volume ($1.76M traded).  As legal challenges pile up against Trump's new tariffs  bettors are increasingly leaning toward the Supreme Court ultimately siding with the administration. https://kalshi.com/markets/kxdjtvostariffs/tariffs-case/kxdjtvostariffs?utm_source=walterbloomberg|The Kalshi Prediction Market suggests a growing likelihood that the Supreme Court will uphold Trump's tariffs, with a 36% chance now indicated, up from the low 20s earlier this month as trading volume increased significantly.|
88|"Track what Kalshi's markets predict for ""Will the Supreme Court rule in favor of Trump's tariffs?""  or trade it yourself."|Kalshi's markets are tracking predictions regarding a potential Supreme Court ruling in favor of Trump's tariffs. Individuals can also trade on this event prediction themselves.|
89|$UBER - UBER CONSIDERS DEAL FOR PARKING APP SPOTHERO|Uber is considering a deal to acquire the parking app SpotHero, indicating interest in expanding its service offerings.|UBER,SPOTHERO, $UBER
90|WAYMO SAYS THEY PREPARE FOR COMMERCIAL LAUNCH NEXT YEAR IN LONDON - X POST|Waymo announced plans to prepare for a commercial launch in London next year, as reported by X Post.|WAYMO
91|"**TRUMP: SEND SOMALIS BACK FROM WHERE THEY CAME**  President Donald Trump posted on Truth Social  claiming that up to 90% of fraud in Minnesota is committed by Somali immigrants who entered the U.S. illegally.  He attacked Rep. Ilhan Omar (D-Minn.) as an ""ungrateful loser who only complains and never contributes"" and a ""scammer.""  Trump called such individuals ""lowlifes"" and a ""liability"" to America  urging: ""Send them back from where they came  Somalia  perhaps the worst  and most corrupt  country on earth. MAKE AMERICA GREAT AGAIN!!!"""|Donald Trump accused Somali immigrants of committing fraud in Minnesota and called for their return to Somalia, while criticizing Representative Ilhan Omar.|
92|U.S. 30-YR FIXED RATE MORTGAGE AVERAGES 6.15 PCT IN DEC 31 WEEK  LOWEST SINCE OCT 3  2024 WEEK  VS 6.18 PCT PRIOR WEEK-FREDDIE MAC|Freddie Mac reported that the average U.S. 30-year fixed mortgage rate decreased to 6.15% for the week ending December 31, the lowest level since October 3, 2024, compared to 6.18% the previous week.|Freddie Mac
93|SPOT GOLD SET TO RISE OVER 64% IN 2025  ITS BEST YEAR SINCE 1979|Gold is projected to rise over 64% in 2025, marking its best performance since 1979.|Gold
94|SPOT SILVER SET TO LOG A 147% GAIN IN 2025  ITS BEST YEAR ON RECORD|Spot silver is projected to achieve a remarkable 147% gain in 2025, marking its best performance on record.|silver
95|BRIDGEWATER'S NEW AI MACRO FUND GAINED 11.9% IN 2025  SOURCE SAYS|Bridgewater's new AI macro fund achieved a notable gain of 11.9% in 2025, according to reports.|BRIDGEWATER
96|TRUMP: WE ARE REMOVING NATIONAL GUARD FROM CHICAGO  LOS ANGELES  AND PORTLAND|Trump announced the removal of the National Guard from several major cities, including Chicago, Los Angeles, and Portland.|
97|TRUMP: WE WILL COME BACK  PERHAPS IN A MUCH DIFFERENT AND STRONGER FORM  WHEN CRIME BEGINS TO SOAR AGAIN|Trump suggests a potential comeback with a stronger form as crime rates are anticipated to rise again.|
98|UNOFFICIALLY  FOR THE YEAR THE S&P 500 GAINED 16.39%  THE NASDAQ ROSE 0.76%  AND THE DOW CLIMBED 12.97%|The S&P 500 gained 16.39% this year, while the NASDAQ rose by 0.76% and the DOW climbed 12.97%. These results highlight a strong performance from the S&P 500 and DOW, indicating positive market trends.|
99|DOW  S&P 500  NASDAQ COMPOSITE RECORD THIRD STRAIGHT YEAR OF GAINS|The DOW, S&P 500, and NASDAQ Composite have achieved record gains for the third consecutive year.|
100|U.S. MILITARY SAYS IT CONDUCTED KINETIC STRIKES AGAINST THREE NARCO-TRAFFICKING VESSELS TRAVELING AS A CONVOY|The U.S. military has reported conducting kinetic strikes against three vessels involved in narco-trafficking, indicating active engagement against drug smuggling operations.|
101|WHITE HOUSE: PRESIDENT TRUMP ADJUSTS IMPORTS OF TIMBER  LUMBER  AND THEIR DERIVATIVE PRODUCTS INTO THE UNITED STATES|President Trump has announced adjustments to the imports of timber, lumber, and their derivative products into the United States, according to the White House.|timber,lumber
102|WHITE HOUSE- PRESIDENT TRUMP SIGNED A PROCLAMATION TO DELAY INCREASES IN TARIFFS FOR UPHOLSTERED FURNITURE  KITCHEN CABINETS  AND VANITIES FOR ANOTHER YEAR|President Trump has signed a proclamation delaying the increase of tariffs on upholstered furniture, kitchen cabinets, and vanities for another year, which may positively impact the home improvement sector.|
103|NEURALINK TARGETS MASS PRODUCTION IN 2026  Elon Musk announced that Neuralink plans to begin high-volume production of its brain–computer interface implants in 2026. The company also intends to introduce a streamlined  largely automated surgical procedure.|Neuralink, led by Elon Musk, aims for mass production of its brain-computer interface implants in 2026, alongside a new automated surgical procedure.|Neuralink
104|Happy New Year  wishing you joy  health  and epic success in 2026! 📈✨|Wishing a prosperous and joyful New Year for 2026, indicating optimism for future success.|
105|OPENAI UNIFIES TEAMS TO ENHANCE AUDIO AI MODELS FOR AN UPCOMING DEVICE - THE INFORMATION|OpenAI is consolidating teams to improve its audio AI models for a new device, according to The Information. This initiative reflects OpenAI's commitment to advancing technology in the audio sector.|OPENAI
106|RUSSIA ASKS UNITED STATES TO STOP PURSUIT OF FLEEING OIL TANKER -NEW YORK TIMES|Russia has requested the United States to cease its efforts regarding the pursuit of an oil tanker, as reported by the New York Times.|oil
107|U.S. STATE DEPARTMENT SAYS CHINA'S MILITARY ACTIVITIES NEAR TAIWAN IS 'UNNECESSARILY'|The U.S. State Department has criticized China's military activities near Taiwan as being unnecessary, heightening geopolitical tensions in the region.|
108|UKRAINE PEACE PLAN IS 90% READY  ZELENSKYY SAYS - POLITICO|Ukrainian President Zelenskyy announced that a peace plan is 90% ready, signaling potential progress towards resolving the ongoing conflict in Ukraine.|
109|MADURO SIGNALS WILLINGNESS TO TALKS WITH U.S.  Venezuelan President Nicolás Maduro said he is open to discussions with the United States on drug trafficking  oil  and migration. Speaking on state television  he said talks could take place “wherever and whenever” Washington chooses. His remarks followed U.S. strikes on vessels accused of transporting narcotics from Venezuela.|Nicolás Maduro, the President of Venezuela, has expressed willingness to engage in discussions with the United States regarding issues of drug trafficking, oil, and migration. These comments follow U.S. military actions against vessels linked to narcotics transport from Venezuela.|oil
110|TRUMP CLAIMS HE “ACED” COGNITIVE TEST  U.S. President Donald Trump said on Truth Social that he is in “perfect health” and that White House doctors reported he “aced” his cognitive examination for the third time. He claimed he answered 100% of the questions correctly and asserted that no other president or vice president had been willing to take such a test. Trump added that all candidates for president or vice president should be required to undergo a mandatory cognitive examination.|U.S. President Donald Trump stated on Truth Social that he is in 'perfect health' after acing his cognitive test for the third time, advocating for mandatory cognitive examinations for presidential candidates.|
111|IRANIAN PARLIAMENT SPEAKER SAYS U.S. BASES  FORCES IN REGION ‘LEGITIMATE TARGETS’ IF WASHINGTON ADVENTURES|Iranian Parliament Speaker announces that U.S. military bases in the region are considered legitimate targets amid rising tensions with Washington.|
112|NEW WORLD SCREWWORM CASE DETECTED IN THE STATE OF MEXICO  AGRICULTURE MINISTRY SAYS|A new case of screwworm has been identified in Mexico, as reported by the Agriculture Ministry. This situation poses potential risks to the agriculture sector in the region.|
113|EARTHQUAKE ALARM SOUNDS IN MEXICO CITY |An earthquake alarm has been issued in Mexico City, signaling potential immediate concerns for residents and businesses in the area.|
114|TESLA INC 2025 TOTAL DELIVERIES 1.64 MLN UNITS  PRODUCTION 1.65 MLN UNITS|Tesla Inc is projected to have total deliveries of 1.64 million units and production of 1.65 million units for 2025.|TESLA INC, TSLA
115|*TESLA 4Q DELIVERIES 418 227  EST. 440 907|Tesla reported 4Q deliveries of 418,227, missing the estimated 440,907. This shortfall raises concerns about the company's performance in the automotive sector.|Tesla, TSLA
116|$TSLA** - TRUIST CUTS TESLA PRICE TARGET TO $439**  Truist Securities analyst William Stein lowered Tesla’s price target to $439 from $444 and maintained a Hold rating. Q4 deliveries totaled 418 000 units  below both consensus and Truist estimates  with no updates on key priorities such as AI initiatives and new vehicles. While energy storage deployments exceeded expectations  Truist believes investors should focus more on AI—particularly FSD—as the primary driver of long-term cash flow and stock performance. Near-term EPS estimates were slightly reduced  and the recent stock bounce is viewed as “better than feared.”|Truist Securities lowered Tesla's price target to $439, maintaining a Hold rating amidst Q4 deliveries falling short of estimates. While energy storage performed well, concerns about the focus on AI initiatives linger.|Tesla, $TSLA
117|$TSLA** - STIFEL: TSLA AND RIVN Q4 DELIVERIES IN LINE**  Stifel said Tesla delivered 418 227 vehicles in Q4 2025  slightly above its forecast but about 1% below consensus. Deliveries declined sequentially after the expiration of the U.S. EV tax credit and fell 15.6% year over year. The firm views the results as neutral for the stock and is awaiting margin details at Q4 earnings on January 26  2026. Tesla also reported a record 14.2 GWh of energy storage deployments. Stifel reiterated its Buy rating and $508 price target  citing FSD and Robotaxi progress as key value drivers. Rivian’s Q4 production and deliveries were largely in line with expectations.|Stifel reported that Tesla delivered 418,227 vehicles in Q4 2025, slightly above its forecast and maintained a Buy rating with a price target of $508. Rivian's production and deliveries were also in line with expectations, despite both companies facing challenges from economic factors like the expiration of the U.S. EV tax credit.|Tesla,Rivian, $TSLA,$RIVN
118|$MSTR** - SAYLOR’S STRATEGY BRACES FOR MAJOR Q4 BITCOIN LOSS**  Strategy Inc. is expected to report a multibillion-dollar fourth-quarter loss after Bitcoin fell 24%  reversing a $2.8 billion profit in the prior quarter. The loss reflects unrealized declines in the value of the company’s roughly $60 billion Bitcoin holdings under new fair-value accounting rules.  The expected hit comes as investor sentiment toward the Bitcoin-treasury model weakens. Strategy’s shares fell 48% in 2025 and are nearly 70% below their November 2024 peak  raising concerns about funding dividends and interest costs. The company raised cash in December by selling shares to bolster liquidity.  Strategy now projects full-year operating results ranging from a $7 billion loss to a $9.5 billion profit  based on Bitcoin prices between $85 000 and $110 000. With Bitcoin ending the year near $87 600  results are likely toward the lower end. The company’s enterprise value is nearing parity with its Bitcoin holdings  highlighting growing skepticism around the sustainability of the model.|Strategy Inc. anticipates a significant Q4 loss due to a 24% drop in Bitcoin, reversing earlier profits and reflecting poorly on investor sentiment toward its holdings.|Strategy Inc., $MSTR, Bitcoin
